ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,95.7,2,2871,37676,Shipped,1,2,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121,34,81.35,5,2765.9,37748,Shipped,2,5,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134,41,94.74,2,3884.34,37803,Shipped,3,7,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,45,83.26,6,3746.7,37858,Shipped,3,8,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,100,14,5205.27,37904,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,36,96.66,1,3479.76,37922,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,29,86.13,9,2497.77,37936,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
10188,48,100,1,5512.32,37943,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,22,98.57,2,2168.54,37956,Shipped,4,12,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211,41,100,14,4708.44,38001,Shipped,1,1,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10223,37,100,1,3965.66,38037,Shipped,1,2,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,23,100,7,2333.12,38082,Shipped,2,4,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251,28,100,2,3188.64,38125,Shipped,2,5,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
